CIVILSTAND;ALDER;TID;INDHOLD
Gift/separeret;I alt;2020K1;2146017
Gift/separeret;0 år;2020K1;0
Gift/separeret;1 år;2020K1;0
Gift/separeret;2 år;2020K1;0
Gift/separeret;3 år;2020K1;0
Gift/separeret;4 år;2020K1;0
Gift/separeret;5 år;2020K1;0
Gift/separeret;6 år;2020K1;0
Gift/separeret;7 år;2020K1;0
Gift/separeret;8 år;2020K1;0
Gift/separeret;9 år;2020K1;0
Gift/separeret;10 år;2020K1;0
Gift/separeret;11 år;2020K1;0
Gift/separeret;12 år;2020K1;0
Gift/separeret;13 år;2020K1;0
Gift/separeret;14 år;2020K1;0
Gift/separeret;15 år;2020K1;0
Gift/separeret;16 år;2020K1;0
Gift/separeret;17 år;2020K1;0
Gift/separeret;18 år;2020K1;22
Gift/separeret;19 år;2020K1;115
Gift/separeret;20 år;2020K1;281
Gift/separeret;21 år;2020K1;664
Gift/separeret;22 år;2020K1;1258
Gift/separeret;23 år;2020K1;2114
Gift/separeret;24 år;2020K1;3646
Gift/separeret;25 år;2020K1;5721
Gift/separeret;26 år;2020K1;8353
Gift/separeret;27 år;2020K1;11834
Gift/separeret;28 år;2020K1;14949
Gift/separeret;29 år;2020K1;18836
Gift/separeret;30 år;2020K1;22174
Gift/separeret;31 år;2020K1;25138
Gift/separeret;32 år;2020K1;27131
Gift/separeret;33 år;2020K1;28994
Gift/separeret;34 år;2020K1;30281
Gift/separeret;35 år;2020K1;30981
Gift/separeret;36 år;2020K1;31663
Gift/separeret;37 år;2020K1;33571
Gift/separeret;38 år;2020K1;34543
Gift/separeret;39 år;2020K1;37175
Gift/separeret;40 år;2020K1;38605
Gift/separeret;41 år;2020K1;39838
Gift/separeret;42 år;2020K1;40059
Gift/separeret;43 år;2020K1;41543
Gift/separeret;44 år;2020K1;45030
Gift/separeret;45 år;2020K1;44617
Gift/separeret;46 år;2020K1;44018
Gift/separeret;47 år;2020K1;46264
Gift/separeret;48 år;2020K1;45846
Gift/separeret;49 år;2020K1;43787
Gift/separeret;50 år;2020K1;43754
Gift/separeret;51 år;2020K1;45259
Gift/separeret;52 år;2020K1;48008
Gift/separeret;53 år;2020K1;51658
Gift/separeret;54 år;2020K1;50227
Gift/separeret;55 år;2020K1;49022
Gift/separeret;56 år;2020K1;48175
Gift/separeret;57 år;2020K1;45683
Gift/separeret;58 år;2020K1;44732
Gift/separeret;59 år;2020K1;44628
Gift/separeret;60 år;2020K1;43270
Gift/separeret;61 år;2020K1;43537
Gift/separeret;62 år;2020K1;43164
Gift/separeret;63 år;2020K1;43623
Gift/separeret;64 år;2020K1;42642
Gift/separeret;65 år;2020K1;41649
Gift/separeret;66 år;2020K1;42260
Gift/separeret;67 år;2020K1;41108
Gift/separeret;68 år;2020K1;40152
Gift/separeret;69 år;2020K1;40767
Gift/separeret;70 år;2020K1;40217
Gift/separeret;71 år;2020K1;41737
Gift/separeret;72 år;2020K1;43342
Gift/separeret;73 år;2020K1;43481
Gift/separeret;74 år;2020K1;40477
Gift/separeret;75 år;2020K1;36323
Gift/separeret;76 år;2020K1;31631
